docid,lang
test0000,fr
test0001,hi
test0002,ur
test0003,nl
test0004,en
test0005,mr
test0006,unk
test0007,it
test0008,mr
test0009,de
test0010,nl
test0011,fa
test0012,es
test0013,de
test0014,he
test0015,ru
test0016,ja
test0017,fr
test0018,ar
test0019,unk
test0020,en
test0021,th
test0022,mr
test0023,unk
test0024,fa
test0025,en
test0026,hi
test0027,unk
test0028,unk
test0029,mr
test0030,de
test0031,unk
test0032,en
test0033,ur
test0034,de
test0035,unk
test0036,he
test0037,en
test0038,he
test0039,unk
test0040,nl
test0041,en
test0042,unk
test0043,ur
test0044,es
test0045,unk
test0046,unk
test0047,unk
test0048,unk
test0049,unk
test0050,de
test0051,de
test0052,ja
test0053,ar
test0054,unk
test0055,nl
test0056,en
test0057,unk
test0058,fr
test0059,en
test0060,ar
test0061,unk
test0062,ru
test0063,th
test0064,de
test0065,ar
test0066,es
test0067,fa
test0068,unk
test0069,ar
test0070,unk
test0071,de
test0072,ar
test0073,de
test0074,ko
test0075,unk
test0076,zh
test0077,fa
test0078,hi
test0079,unk
test0080,fr
test0081,unk
test0082,es
test0083,fa
test0084,nl
test0085,unk
test0086,ru
test0087,en
test0088,de
test0089,nl
test0090,unk
test0091,fa
test0092,ko
test0093,fa
test0094,ar
test0095,mr
test0096,es
test0097,bg
test0098,en
test0099,fa
test0100,en
test0101,ru
test0102,it
test0103,ru
test0104,ru
test0105,unk
test0106,ja
test0107,fr
test0108,ja
test0109,en
test0110,ru
test0111,de
test0112,en
test0113,ja
test0114,es
test0115,zh
test0116,unk
test0117,nl
test0118,fr
test0119,de
test0120,bg
test0121,it
test0122,de
test0123,ru
test0124,hi
test0125,en
test0126,es
test0127,bg
test0128,ur
test0129,es
test0130,nl
test0131,ja
test0132,it
test0133,es
test0134,ru
test0135,it
test0136,unk
test0137,ur
test0138,fa
test0139,en
test0140,fa
test0141,unk
test0142,en
test0143,es
test0144,ar
test0145,hi
test0146,bg
test0147,es
test0148,de
test0149,unk
test0150,es
test0151,unk
test0152,es
test0153,es
test0154,ja
test0155,fa
test0156,ne
test0157,unk
test0158,fr
test0159,fr
test0160,it
test0161,ko
test0162,es
test0163,ja
test0164,es
test0165,fr
test0166,fr
test0167,ur
test0168,en
test0169,ja
test0170,ja
test0171,fr
test0172,fa
test0173,unk
test0174,fr
test0175,ru
test0176,ur
test0177,fa
test0178,ru
test0179,ne
test0180,es
test0181,hi
test0182,en
test0183,de
test0184,fr
test0185,unk
test0186,ne
test0187,unk
test0188,ne
test0189,ru
test0190,nl
test0191,bg
test0192,en
test0193,en
test0194,ne
test0195,es
test0196,ru
test0197,fr
test0198,unk
test0199,nl
test0200,fr
test0201,fr
test0202,it
test0203,unk
test0204,ne
test0205,bg
test0206,ne
test0207,ur
test0208,es
test0209,en
test0210,fa
test0211,fr
test0212,ru
test0213,ru
test0214,ar
test0215,ja
test0216,ar
test0217,en
test0218,fr
test0219,en
test0220,ja
test0221,de
test0222,fr
test0223,en
test0224,unk
test0225,fa
test0226,es
test0227,ru
test0228,fa
test0229,ne
test0230,nl
test0231,ur
test0232,hi
test0233,en
test0234,en
test0235,en
test0236,fr
test0237,ko
test0238,it
test0239,fa
test0240,mr
test0241,ja
test0242,unk
test0243,bg
test0244,unk
test0245,mr
test0246,fr
test0247,ur
test0248,en
test0249,nl
test0250,es
test0251,en
test0252,de
test0253,bg
test0254,fr
test0255,unk
test0256,th
test0257,de
test0258,unk
test0259,de
test0260,ja
test0261,ne
test0262,it
test0263,es
